Rank,coin,market,price,VPD,momentum,trigger,1D%,MaxPriceReturn%,Giveback%p,DayHigh,1H%,RSI14,Williams,Vol3/10,TodayValue/10,IntraAccel,SpikeCollapse,PrevRank,PrevVPD,VPDVelocity,VPDVelocityPerHour,RankChange,NEW_MARKET,NEW_TOP10,Rocket,RocketReason,Status
1,WCT,KRW-WCT,50.6,91.0,↑,A,2.02,7.86,5.85,53.5,-0.39,45.3,-71.7,3.25,7.49,6.01,False,141.0,41.0,50.0,2.09,140.0,False,True,True,VELOCITY+RANK,NEW_TOP10🚀
2,TREE,KRW-TREE,60.3,85.0,↑↑,A,12.5,25.93,13.43,67.5,-0.17,61.6,-45.3,6.41,18.64,21.3,False,176.0,37.0,48.0,2.0,174.0,False,True,True,VELOCITY+RANK,NEW_TOP10🚀
3,PUNDIX,KRW-PUNDIX,140.0,85.0,↑↑,A,9.38,25.0,15.62,160.0,0.72,63.7,-50.0,4.04,12.18,30.18,False,228.0,23.0,62.0,2.59,225.0,False,True,True,VELOCITY+RANK,NEW_TOP10🚀
4,IQ,KRW-IQ,1.15,85.0,↑↑,A,8.49,23.58,15.09,1.31,0.0,64.3,-41.4,4.29,10.93,5.28,False,233.0,22.0,63.0,2.63,229.0,False,True,True,VELOCITY+RANK,NEW_TOP10🚀
5,ERA,KRW-ERA,79.9,85.0,↑,A,2.3,8.07,5.76,84.4,-0.12,44.2,-83.4,3.11,6.94,5.77,False,140.0,41.0,44.0,1.84,135.0,False,True,True,VELOCITY+RANK,NEW_TOP10🚀
6,CHZ,KRW-CHZ,19.5,83.0,↑,-,2.63,11.58,8.95,21.2,0.52,55.1,-51.5,2.78,6.24,5.24,False,60.0,56.0,27.0,1.13,54.0,False,True,True,VELOCITY+RANK,NEW_TOP10🚀
7,BSB,KRW-BSB,136.0,82.0,↑,-,3.82,28.24,24.43,168.0,-2.16,42.5,-64.0,5.68,14.47,10.83,False,83.0,51.0,31.0,1.29,76.0,False,True,True,VELOCITY+RANK,NEW_TOP10🚀
8,KNC,KRW-KNC,181.0,81.0,↑,-,4.62,9.83,5.2,190.0,0.0,68.9,-24.3,3.61,6.02,2.87,False,8.0,84.0,-3.0,-0.13,0.0,False,False,False,-,-
9,BERA,KRW-BERA,263.0,77.0,↑↑,-,9.13,12.45,3.32,271.0,0.0,60.0,-17.8,2.57,6.11,6.23,False,193.0,33.0,44.0,1.84,184.0,False,True,True,VELOCITY+RANK,NEW_TOP10🚀
10,MTL,KRW-MTL,407.0,75.0,↑,-,17.97,37.97,20.0,476.0,0.25,76.0,-42.3,34.55,116.38,48.72,False,3.0,89.0,-14.0,-0.58,-7.0,False,False,False,-,-
