coin,date,VPDReplay,MomentumCore,MaxPriceReturn%,DayReturn%,Vol3/10,TodayValue/10,IntraAccel,WPI5,VWPI5,LowerDays5,UpperDays5,LowerWickTotal5,UpperWickTotal5,D1%,D3%,D5%,MFE5%,MAE5%
ORCA,2026-07-26,42.0,→,0.75,0.23,0.76,0.61,0.62,22.63,17.31,3,2,1.5966,1.0073,-1.38,-6.34,-7.72,0.98,-7.89
ORCA,2026-07-27,51.0,↓,0.98,-1.38,0.93,1.1,1.26,10.21,8.14,2,3,1.5085,1.2289,-1.52,-4.03,-7.65,0.18,-8.76
ORCA,2026-07-28,35.0,↓,0.18,-1.52,0.88,0.78,0.84,-15.36,-16.82,1,4,1.0964,1.4943,-3.56,-4.98,-7.35,0.53,-7.53
ORCA,2026-07-29,51.0,↓,0.53,-3.56,1.03,1.11,1.27,5.45,0.85,2,3,1.3559,1.2158,1.05,-2.77,-5.35,2.21,-6.27
ORCA,2026-07-30,36.0,→,2.21,1.05,0.88,0.7,0.71,2.16,-0.95,2,3,1.3463,1.2894,-2.5,-4.93,-5.48,0.3,-7.24
ORCA,2026-07-31,24.0,↓,0.3,-2.5,0.96,0.86,0.95,-6.28,-4.91,2,3,1.2744,1.4452,-1.31,-3.93,-3.93,1.75,-4.87
ORCA,2026-08-01,20.0,→,1.75,-1.31,0.75,0.54,0.59,-6.49,-5.12,2,3,1.0174,1.1586,-1.2,-1.77,-3.23,1.52,-3.73
ORCA,2026-08-02,20.0,↓,1.52,-1.2,0.74,0.64,0.85,0.09,7.28,2,3,1.1881,1.186,-1.47,-1.47,-3.97,0.0,-4.23
ORCA,2026-08-03,29.0,→,0.0,-1.47,0.78,0.86,1.11,-36.15,-28.21,1,4,0.7367,1.5708,0.91,-0.58,-0.52,7.8,-2.79
ORCA,2026-08-04,27.0,→,1.36,0.91,0.81,0.67,0.89,-27.15,-26.08,1,4,0.8577,1.4971,-0.9,-3.41,-4.64,6.83,-5.02
ORCA,2026-08-05,20.0,↓,0.32,-0.9,0.85,0.75,0.93,2.9,5.17,2,3,1.2173,1.1487,-0.58,-0.52,-2.73,7.8,-4.16
ORCA,2026-08-06,20.0,↓,0.19,-0.58,0.74,0.61,0.75,14.75,17.96,3,2,1.4775,1.0977,-1.96,-3.2,-3.92,8.43,-4.77
ORCA,2026-08-07,20.0,↓,0.33,-1.96,0.67,0.42,0.55,25.4,27.8,4,1,1.598,0.9507,2.07,-0.2,-3.53,10.6,-3.6
ORCA,2026-08-08,69.0,↑,10.6,2.07,1.89,4.4,6.36,40.33,48.7,4,1,1.6354,0.6954,-3.27,-3.98,-4.51,0.0,-5.68
ORCA,2026-08-09,41.0,→,0.0,-3.27,1.64,1.02,0.69,-8.09,-57.65,3,2,1.2591,1.4806,1.08,-2.3,-2.5,1.82,-3.78
ORCA,2026-08-10,32.0,↑,1.82,1.08,1.61,0.35,0.22,-15.06,-63.55,3,2,0.9495,1.2862,-1.8,-2.34,-1.34,5.21,-4.81
ORCA,2026-08-11,5.0,↓,0.13,-1.8,0.73,0.67,0.39,-39.58,-73.88,2,3,0.7022,1.6222,-1.56,-1.77,-1.56,7.14,-3.06
ORCA,2026-08-12,29.0,↓,0.95,-1.56,0.7,0.97,1.36,-39.78,-74.62,2,3,0.6117,1.4198,1.04,2.07,4.77,8.85,-1.52
ORCA,2026-08-13,3.0,→,2.21,1.04,0.78,0.63,0.96,-47.48,-76.51,2,3,0.5355,1.5035,-1.23,-1.03,1.3,7.73,-2.53
ORCA,2026-08-14,5.0,↓,0.27,-1.23,0.82,0.72,0.93,-29.19,-23.37,2,3,0.6599,1.2039,2.29,4.99,5.33,9.07,-0.69
